"시점",경제성장률 (%),설비용량(연말) (천kW),설비용량(연말)-성장률 (%),최대전력 (천kW),최대전력-성장률 (%),설비예비율 (%),공급예비율 (%),총발전량 (백만kWh),총발전량-성장률 (%),이용률 (%),발전소내 소비전력률 (%),발전소내 소비전력량 (백만kWh),판매전력량 (백만kWh),판매전력량-수요성장률 (%),송전전력량(양수제외) (백만kWh),송배전손실률 (%),주택용판매전력량 (백만kWh),일반용판매전력량 (백만kWh),교육용판매전력량 (백만kWh),산업용판매전력량 (백만kWh),농사용판매전력량 (백만kWh),가로등판매전력량 (백만kWh),심야판매전력량 (백만kWh),평균전력 (천kW),부하율 (%),열효율(발전단Gross) (%),인구1인당전력소비량 (kWh/년)
"2002",7.4,53801,5.8,45773,6.1,15.3,13.9,306474,7.5,65.7,4.55,13728,278451,8.0,290058,4.48,43453,57428,2954,151197,6328,2075,15017,34986,76.4,39.96,5845
"2003",2.9,56053,4.2,47385,3.5,18.4,17.1,322452,5.2,65.9,4.48,14226,293599,5.4,305645,4.43,46505,61626,3351,157846,6147,2197,15927,36810,77.7,39.94,6126
"2004",4.9,59961,7.0,51264,8.2,15.3,12.2,342148,6.1,66.5,4.52,15268,312096,6.3,324885,4.46,49513,67476,3774,166223,6766,2367,15976,39058,76.2,40.66,6491
"2005",3.9,62258,3.8,54631,6.6,13.0,11.3,364639,6.6,67.5,4.56,16452,332413,6.6,346224,4.51,52045,73716,4309,174945,7318,2570,17510,41625,76.2,40.62,6883
"2006",5.2,65514,5.2,58994,8.0,9.8,10.5,381184,4.5,66.9,4.19,15811,348719,4.9,363054,4.02,53912,77809,4791,183067,7636,2687,18817,43514,73.8,40.97,7191
"2007",5.5,68268,4.2,62285,5.6,7.9,7.2,403125,5.8,67.9,4.17,16614,368605,5.7,384693,3.99,55681,82208,5304,194936,8215,2794,19467,46019,73.9,40.90,7607
"2008",2.8,72491,6.2,62794,0.8,12.0,9.1,422355,4.8,67.7,4.19,17374,385070,4.5,401726,4.01,57878,86827,5783,203475,8869,2847,19391,48082,76.6,40.84,7922
"2009",0.7,73470,1.4,66797,6.4,9.8,7.9,433604,2.7,67.8,4.30,18258,394475,2.4,411631,4.07,59427,89619,6465,207216,9672,2954,19121,49498,74.1,40.55,8092
"2010",6.5,76078,3.5,71308,6.8,6.7,6.2,474660,9.5,73.3,4.08,19372,434160,10.1,451433,3.99,63199,97410,7452,232672,10654,3081,19690,54185,76.0,40.83,8883
"2011",3.7,79342,4.3,73137,2.6,4.1,5.5,496893,4.7,73.9,3.96,19689,455070,4.8,472650,3.69,63523,99504,7568,251491,11232,3145,18607,56723,77.6,40.44,9142
"2012",2.4,81806,3.1,75987,3.9,7.7,5.2,509574,2.6,70.2,3.96,20154,466593,2.5,484334,3.57,65484,101593,7860,258102,12776,3158,17620,58011,76.3,40.48,9331
"2013",3.2,86969,6.3,76522,0.7,7.5,5.5,517148,1.5,68.0,3.96,20463,474849,1.8,491003,3.73,65815,102196,7947,265373,13866,3156,16496,59035,77.1,39.55,9285
"2014",3.2,93216,7.2,80154,4.7,16.3,11.5,521971,0.9,63.9,3.88,20257,477592,0.6,494717,3.69,64457,100761,7438,272552,14505,3221,14658,59586,74.3,41.25,9305
"2015",2.8,97649,4.8,82972,3.5,18.3,14.2,528091,1.2,61.7,4.50,23782,483655,1.3,499239,3.60,65619,103679,7691,273548,15702,3341,14075,60284,76.5,40.92,9555
"2016",2.9,105866,8.4,85183,2.7,17.6,8.5,540441,2.3,58.3,3.98,21505,497039,2.8,514119,3.59,68057,108617,8079,278828,16580,3462,13416,61694,72.4,39.79,9699
"2017",3.2,116908,10.4,85133,-0.1,37.0,12.9,553530,2.4,54.0,3.92,21707,507746,2.2,525711,3.57,68544,111298,8316,285970,17251,3557,12811,63188,74.2,39.82,9869
"2018",2.9,119092,1.9,92478,8.6,26.7,7.7,570647,3.1,54.7,3.75,21390,526149,3.6,543232,3.56,72895,116934,8678,292999,18504,3583,12558,65142,70.4,40.82,10195
"2019",2.2,125338,5.2,90314,-2.3,34.1,6.7,563040,-1.3,51.3,3.83,21573,520499,-1.1,536198,3.54,72639,116227,8561,289240,18882,3571,11379,64274,71.2,40.70,10039
"2020",-0.9,129191,3.1,89091,-1.4,43.5,9.9,552162,-1.9,48.7,3.83,21135,509270,-2.2,525851,3.54,76303,113639,7515,278660,19029,3507,10616,62860,70.6,41.14,9826
"2021",4.0,134020,3.7,91141,2.3,44.1,10.5,576809,4.5,49.1,3.68,21254,533431,4.7,549624,3.53,79915,119550,8423,291333,20603,3444,10162,65846,72.2,41.53,10330
"2022",2.6,138193,3.1,94509,3.7,46.0,11.8,594400,3.0,49.1,3.71,22081,547933,2.7,566865,3.53,80996,127193,9074,296036,21420,3424,9790,67854,71.8,41.65,10652
"2023",1.4,144421,4.5,91556,-3.1,57.7,14.9,588047,-1.1,49.1,3.71,20976,545966,0.4,561447,3.53,82348,130844,9232,290555,20763,3399,8825,67129,72.0,41.36,10637
