"실적구분별(1)",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"경제성장률 (%)",7.4,2.9,4.9,3.9,5.2,5.5,2.8,0.7,6.5,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.9,4.0,2.6,1.4
"설비용량(연말) (천kW)",53801,56053,59961,62258,65514,68268,72491,73470,76078,79342,81806,86969,93216,97649,105866,116908,119092,125338,129191,134020,138193,144421
"설비용량(연말)-성장률 (%)",5.8,4.2,7.0,3.8,5.2,4.2,6.2,1.4,3.5,4.3,3.1,6.3,7.2,4.8,8.4,10.4,1.9,5.2,3.1,3.7,3.1,4.5
"최대전력 (천kW)",45773,47385,51264,54631,58994,62285,62794,66797,71308,73137,75987,76522,80154,82972,85183,85133,92478,90314,89091,91141,94509,91556
"최대전력-성장률 (%)",6.1,3.5,8.2,6.6,8.0,5.6,0.8,6.4,6.8,2.6,3.9,0.7,4.7,3.5,2.7,-0.1,8.6,-2.3,-1.4,2.3,3.7,-3.1
"설비예비율 (%)",15.3,18.4,15.3,13.0,9.8,7.9,12.0,9.8,6.7,4.1,7.7,7.5,16.3,18.3,17.6,37.0,26.7,34.1,43.5,44.1,46.0,57.7
"공급예비율 (%)",13.9,17.1,12.2,11.3,10.5,7.2,9.1,7.9,6.2,5.5,5.2,5.5,11.5,14.2,8.5,12.9,7.7,6.7,9.9,10.5,11.8,14.9
"총발전량 (백만kWh)",306474,322452,342148,364639,381184,403125,422355,433604,474660,496893,509574,517148,521971,528091,540441,553530,570647,563040,552162,576809,594400,588047
"총발전량-성장률 (%)",7.5,5.2,6.1,6.6,4.5,5.8,4.8,2.7,9.5,4.7,2.6,1.5,0.9,1.2,2.3,2.4,3.1,-1.3,-1.9,4.5,3.0,-1.1
"이용률 (%)",65.7,65.9,66.5,67.5,66.9,67.9,67.7,67.8,73.3,73.9,70.2,68.0,63.9,61.7,58.3,54.0,54.7,51.3,48.7,49.1,49.1,49.1
"발전소내 소비전력률 (%)",4.55,4.48,4.52,4.56,4.19,4.17,4.19,4.30,4.08,3.96,3.96,3.96,3.88,4.50,3.98,3.92,3.75,3.83,3.83,3.68,3.71,3.71
"발전소내 소비전력량 (백만kWh)",13728,14226,15268,16452,15811,16614,17374,18258,19372,19689,20154,20463,20257,23782,21505,21707,21390,21573,21135,21254,22081,20976
"판매전력량 (백만kWh)",278451,293599,312096,332413,348719,368605,385070,394475,434160,455070,466593,474849,477592,483655,497039,507746,526149,520499,509270,533431,547933,545966
"판매전력량-수요성장률 (%)",8.0,5.4,6.3,6.6,4.9,5.7,4.5,2.4,10.1,4.8,2.5,1.8,0.6,1.3,2.8,2.2,3.6,-1.1,-2.2,4.7,2.7,0.4
"송전전력량(양수제외) (백만kWh)",290058,305645,324885,346224,363054,384693,401726,411631,451433,472650,484334,491003,494717,499239,514119,525711,543232,536198,525851,549624,566865,561447
"송배전손실률 (%)",4.48,4.43,4.46,4.51,4.02,3.99,4.01,4.07,3.99,3.69,3.57,3.73,3.69,3.60,3.59,3.57,3.56,3.54,3.54,3.53,3.53,3.53
"주택용판매전력량 (백만kWh)",43453,46505,49513,52045,53912,55681,57878,59427,63199,63523,65484,65815,64457,65619,68057,68544,72895,72639,76303,79915,80996,82348
"일반용판매전력량 (백만kWh)",57428,61626,67476,73716,77809,82208,86827,89619,97410,99504,101593,102196,100761,103679,108617,111298,116934,116227,113639,119550,127193,130844
"교육용판매전력량 (백만kWh)",2954,3351,3774,4309,4791,5304,5783,6465,7452,7568,7860,7947,7438,7691,8079,8316,8678,8561,7515,8423,9074,9232
"산업용판매전력량 (백만kWh)",151197,157846,166223,174945,183067,194936,203475,207216,232672,251491,258102,265373,272552,273548,278828,285970,292999,289240,278660,291333,296036,290555
"농사용판매전력량 (백만kWh)",6328,6147,6766,7318,7636,8215,8869,9672,10654,11232,12776,13866,14505,15702,16580,17251,18504,18882,19029,20603,21420,20763
"가로등판매전력량 (백만kWh)",2075,2197,2367,2570,2687,2794,2847,2954,3081,3145,3158,3156,3221,3341,3462,3557,3583,3571,3507,3444,3424,3399
"심야판매전력량 (백만kWh)",15017,15927,15976,17510,18817,19467,19391,19121,19690,18607,17620,16496,14658,14075,13416,12811,12558,11379,10616,10162,9790,8825
"평균전력 (천kW)",34986,36810,39058,41625,43514,46019,48082,49498,54185,56723,58011,59035,59586,60284,61694,63188,65142,64274,62860,65846,67854,67129
"부하율 (%)",76.4,77.7,76.2,76.2,73.8,73.9,76.6,74.1,76.0,77.6,76.3,77.1,74.3,76.5,72.4,74.2,70.4,71.2,70.6,72.2,71.8,72.0
"열효율(발전단Gross) (%)",39.96,39.94,40.66,40.62,40.97,40.90,40.84,40.55,40.83,40.44,40.48,39.55,41.25,40.92,39.79,39.82,40.82,40.70,41.14,41.53,41.65,41.36
"인구1인당전력소비량 (kWh/년)",5845,6126,6491,6883,7191,7607,7922,8092,8883,9142,9331,9285,9305,9555,9699,9869,10195,10039,9826,10330,10652,10637
